"Jul 26, 2019 16:25:59.494792000 AEST","3c:28:6d:1d:bf:48"
"Jul 26, 2019 16:26:00.006191000 AEST","b4:f7:a1:c1:5d:5c"
"Jul 26, 2019 16:26:00.151521000 AEST","b4:f7:a1:c1:5d:5c"
"Jul 26, 2019 16:26:00.171463000 AEST","b4:f7:a1:c1:5d:5c"
"Jul 26, 2019 16:26:00.255662000 AEST","b4:f7:a1:c1:5d:5c"
"Jul 26, 2019 16:26:00.319622000 AEST","b4:f7:a1:c1:5d:5c"
"Jul 26, 2019 16:26:00.400056000 AEST","b8:27:eb:13:52:0a"
"Jul 26, 2019 16:26:00.423641000 AEST","b8:27:eb:13:52:0a"
"Jul 26, 2019 16:26:00.515333000 AEST","b8:27:eb:13:52:0a"
"Jul 26, 2019 16:26:00.535787000 AEST","b8:27:eb:13:52:0a"
"Jul 26, 2019 16:26:00.578563000 AEST","b8:27:eb:13:52:0a"
"Jul 26, 2019 16:26:00.669168000 AEST","b8:27:eb:13:52:0a"
"Jul 26, 2019 16:26:01.337099000 AEST","cc:2d:b7:b6:55:64"
"Jul 26, 2019 16:26:01.357264000 AEST","cc:2d:b7:b6:55:64"
"Jul 26, 2019 16:26:01.385572000 AEST","cc:2d:b7:b6:55:64"
"Jul 26, 2019 16:26:01.405771000 AEST","cc:2d:b7:b6:55:64"
"Jul 26, 2019 16:26:01.431774000 AEST","cc:2d:b7:b6:55:64"
"Jul 26, 2019 16:26:01.447278000 AEST","cc:2d:b7:b6:55:64"
"Jul 26, 2019 16:26:01.492219000 AEST","cc:2d:b7:b6:55:64"
"Jul 26, 2019 16:26:01.517139000 AEST","cc:2d:b7:b6:55:64"
"Jul 26, 2019 16:26:01.549947000 AEST","cc:2d:b7:b6:55:64"
"Jul 26, 2019 16:26:01.853980000 AEST","32:64:81:15:dc:78"
"Jul 26, 2019 16:26:01.876729000 AEST","32:64:81:15:dc:78"
"Jul 26, 2019 16:26:02.147545000 AEST","08:f6:9c:50:3c:d7"
"Jul 26, 2019 16:26:02.269244000 AEST","70:ef:00:4c:7e:c7"
"Jul 26, 2019 16:26:02.279443000 AEST","70:ef:00:4c:7e:c7"
"Jul 26, 2019 16:26:02.628402000 AEST","08:f6:9c:50:3c:d7"
"Jul 26, 2019 16:26:03.169328000 AEST","08:f6:9c:50:3c:d7"
"Jul 26, 2019 16:26:03.261845000 AEST","08:f6:9c:50:3c:d7"
"Jul 26, 2019 16:26:03.351165000 AEST","98:22:ef:97:70:77"
"Jul 26, 2019 16:26:03.390400000 AEST","08:f6:9c:50:3c:d7"
"Jul 26, 2019 16:26:03.828689000 AEST","08:f6:9c:50:3c:d7"
"Jul 26, 2019 16:26:04.083789000 AEST","08:f6:9c:50:3c:d7"
"Jul 26, 2019 16:26:04.698438000 AEST","60:21:01:e0:04:ef"
"Jul 26, 2019 16:26:04.713192000 AEST","60:21:01:e0:04:ef"
"Jul 26, 2019 16:26:06.047949000 AEST","ba:de:37:47:63:31"
"Jul 26, 2019 16:26:06.068155000 AEST","ba:de:37:47:63:31"
"Jul 26, 2019 16:26:06.092921000 AEST","ba:de:37:47:63:31"
"Jul 26, 2019 16:26:06.147257000 AEST","9c:e6:5e:31:80:d2"
"Jul 26, 2019 16:26:06.203227000 AEST","ba:de:37:47:63:31"
"Jul 26, 2019 16:26:06.220461000 AEST","9c:e6:5e:31:80:d2"
"Jul 26, 2019 16:26:06.222060000 AEST","9c:e6:5e:31:80:d2"
"Jul 26, 2019 16:26:06.241645000 AEST","9c:e6:5e:31:80:d2"
"Jul 26, 2019 16:26:06.326504000 AEST","9c:e6:5e:31:80:d2"
"Jul 26, 2019 16:26:06.700614000 AEST","e2:55:1d:10:35:1a"
"Jul 26, 2019 16:26:06.737883000 AEST","58:40:4e:24:b4:31"
"Jul 26, 2019 16:26:07.163898000 AEST","f8:2d:7c:4f:bf:3f"
"Jul 26, 2019 16:26:07.165538000 AEST","f8:2d:7c:4f:bf:3f"
"Jul 26, 2019 16:26:07.292008000 AEST","1a:63:28:38:55:a9"
"Jul 26, 2019 16:26:07.295750000 AEST","1a:63:28:38:55:a9"
"Jul 26, 2019 16:26:07.780191000 AEST","1a:63:28:38:55:a9"
"Jul 26, 2019 16:26:07.799483000 AEST","1a:63:28:38:55:a9"
"Jul 26, 2019 16:26:07.891928000 AEST","1a:63:28:38:55:a9"
"Jul 26, 2019 16:26:07.893024000 AEST","1a:63:28:38:55:a9"
"Jul 26, 2019 16:26:07.896815000 AEST","1a:63:28:38:55:a9"
"Jul 26, 2019 16:26:09.499822000 AEST","e0:33:8e:3d:55:b8"
"Jul 26, 2019 16:26:09.565088000 AEST","e0:33:8e:3d:55:b8"
"Jul 26, 2019 16:26:09.589702000 AEST","e0:33:8e:3d:55:b8"
"Jul 26, 2019 16:26:09.611643000 AEST","e0:33:8e:3d:55:b8"
"Jul 26, 2019 16:26:09.746095000 AEST","5a:b8:ee:08:71:ec"
"Jul 26, 2019 16:26:09.766317000 AEST","5a:b8:ee:08:71:ec"
"Jul 26, 2019 16:26:09.791311000 AEST","5a:b8:ee:08:71:ec"
"Jul 26, 2019 16:26:09.811468000 AEST","5a:b8:ee:08:71:ec"
"Jul 26, 2019 16:26:09.866245000 AEST","5a:b8:ee:08:71:ec"
"Jul 26, 2019 16:26:09.882542000 AEST","5a:b8:ee:08:71:ec"
"Jul 26, 2019 16:26:10.290211000 AEST","48:a1:95:b8:6d:c2"
"Jul 26, 2019 16:26:10.300993000 AEST","48:a1:95:b8:6d:c2"
"Jul 26, 2019 16:26:10.360348000 AEST","38:f9:d3:34:53:05"
"Jul 26, 2019 16:26:10.370010000 AEST","38:f9:d3:34:53:05"
"Jul 26, 2019 16:26:10.399963000 AEST","38:f9:d3:34:53:05"
"Jul 26, 2019 16:26:10.410581000 AEST","38:f9:d3:34:53:05"
"Jul 26, 2019 16:26:10.455086000 AEST","38:f9:d3:34:53:05"
"Jul 26, 2019 16:26:10.492206000 AEST","38:f9:d3:34:53:05"
"Jul 26, 2019 16:26:11.480594000 AEST","a4:b8:05:67:4c:c9"
"Jul 26, 2019 16:26:11.931487000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:26:14.449609000 AEST","d4:61:da:45:8f:2f"
"Jul 26, 2019 16:26:14.469820000 AEST","d4:61:da:45:8f:2f"
"Jul 26, 2019 16:26:14.651754000 AEST","a2:5b:f2:d8:39:70"
"Jul 26, 2019 16:26:14.756302000 AEST","a2:5b:f2:d8:39:70"
"Jul 26, 2019 16:26:14.776379000 AEST","a2:5b:f2:d8:39:70"
"Jul 26, 2019 16:26:14.860987000 AEST","a2:5b:f2:d8:39:70"
"Jul 26, 2019 16:26:14.881048000 AEST","a2:5b:f2:d8:39:70"
"Jul 26, 2019 16:26:14.966468000 AEST","a2:5b:f2:d8:39:70"
"Jul 26, 2019 16:26:15.088681000 AEST","a2:5b:f2:d8:39:70"
"Jul 26, 2019 16:26:15.173358000 AEST","a2:5b:f2:d8:39:70"
"Jul 26, 2019 16:26:15.277814000 AEST","a2:5b:f2:d8:39:70"
"Jul 26, 2019 16:26:15.538564000 AEST","56:01:60:20:1f:42"
"Jul 26, 2019 16:26:15.563646000 AEST","56:01:60:20:1f:42"
"Jul 26, 2019 16:26:15.674719000 AEST","6c:e8:5c:49:b4:a6"
"Jul 26, 2019 16:26:15.699294000 AEST","6c:e8:5c:49:b4:a6"
"Jul 26, 2019 16:26:15.744503000 AEST","6c:e8:5c:49:b4:a6"
"Jul 26, 2019 16:26:15.765594000 AEST","6c:e8:5c:49:b4:a6"
"Jul 26, 2019 16:26:15.789265000 AEST","6c:e8:5c:49:b4:a6"
"Jul 26, 2019 16:26:15.809518000 AEST","6c:e8:5c:49:b4:a6"
"Jul 26, 2019 16:26:15.855962000 AEST","6c:e8:5c:49:b4:a6"
"Jul 26, 2019 16:26:15.884135000 AEST","56:66:5c:2f:59:19"
"Jul 26, 2019 16:26:15.919985000 AEST","56:66:5c:2f:59:19"
"Jul 26, 2019 16:26:15.932263000 AEST","56:66:5c:2f:59:19"
"Jul 26, 2019 16:26:16.029502000 AEST","a8:db:03:21:a0:1b"
"Jul 26, 2019 16:26:16.065319000 AEST","da:a1:19:2e:cb:61"
"Jul 26, 2019 16:26:16.090234000 AEST","da:a1:19:2e:cb:61"
"Jul 26, 2019 16:26:16.236568000 AEST","da:a1:19:2e:cb:61"
"Jul 26, 2019 16:26:16.857929000 AEST","96:13:1e:5c:ac:8e"
"Jul 26, 2019 16:26:16.886145000 AEST","96:13:1e:5c:ac:8e"
"Jul 26, 2019 16:26:17.416227000 AEST","9a:28:9f:53:bb:59"
"Jul 26, 2019 16:26:17.438292000 AEST","9a:28:9f:53:bb:59"
"Jul 26, 2019 16:26:17.506136000 AEST","9a:28:9f:53:bb:59"
"Jul 26, 2019 16:26:17.533657000 AEST","9a:28:9f:53:bb:59"
"Jul 26, 2019 16:26:17.571505000 AEST","9a:28:9f:53:bb:59"
"Jul 26, 2019 16:26:18.843990000 AEST","58:40:4e:24:b4:31"
"Jul 26, 2019 16:26:18.860603000 AEST","58:40:4e:24:b4:31"
"Jul 26, 2019 16:26:18.870247000 AEST","58:40:4e:24:b4:31"
"Jul 26, 2019 16:26:18.886186000 AEST","58:40:4e:24:b4:31"
"Jul 26, 2019 16:26:18.892612000 AEST","58:40:4e:24:b4:31"
"Jul 26, 2019 16:26:18.918616000 AEST","3e:cd:15:54:d8:53"
"Jul 26, 2019 16:26:18.960707000 AEST","3e:cd:15:54:d8:53"
"Jul 26, 2019 16:26:18.982838000 AEST","58:40:4e:24:b4:31"
"Jul 26, 2019 16:26:19.023355000 AEST","a4:b8:05:67:4c:c9"
"Jul 26, 2019 16:26:19.046189000 AEST","a4:b8:05:67:4c:c9"
"Jul 26, 2019 16:26:19.792241000 AEST","00:cd:fe:dd:fc:87"
"Jul 26, 2019 16:26:19.854062000 AEST","00:cd:fe:dd:fc:87"
"Jul 26, 2019 16:26:20.667753000 AEST","c4:98:80:70:37:6c"
"Jul 26, 2019 16:26:20.688857000 AEST","c4:98:80:70:37:6c"
"Jul 26, 2019 16:26:20.700600000 AEST","48:a1:95:b8:6d:c2"
"Jul 26, 2019 16:26:20.707467000 AEST","48:a1:95:b8:6d:c2"
"Jul 26, 2019 16:26:21.761308000 AEST","a4:b8:05:67:4c:c9"
"Jul 26, 2019 16:26:27.828209000 AEST","e2:55:1d:10:35:1a"
"Jul 26, 2019 16:26:28.342259000 AEST","d4:63:c6:01:63:15"
"Jul 26, 2019 16:26:28.358407000 AEST","d4:63:c6:01:63:15"
"Jul 26, 2019 16:26:28.798057000 AEST","f8:2d:7c:ae:48:4d"
"Jul 26, 2019 16:26:29.481964000 AEST","1a:b8:d3:c2:86:d2"
"Jul 26, 2019 16:26:29.507877000 AEST","1a:b8:d3:c2:86:d2"
"Jul 26, 2019 16:26:29.600515000 AEST","cc:44:63:6c:25:a7"
"Jul 26, 2019 16:26:29.611249000 AEST","cc:44:63:6c:25:a7"
"Jul 26, 2019 16:26:29.613873000 AEST","e0:33:8e:3d:55:b8"
"Jul 26, 2019 16:26:29.755446000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:26:29.791536000 AEST","d6:5a:e9:0b:09:d6"
"Jul 26, 2019 16:26:29.840405000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:26:29.880586000 AEST","24:18:1d:7b:8b:36"
"Jul 26, 2019 16:26:30.865818000 AEST","e0:33:8e:3d:55:b8"
"Jul 26, 2019 16:26:33.070442000 AEST","e0:33:8e:3d:55:b8"
"Jul 26, 2019 16:26:33.093165000 AEST","e0:33:8e:3d:55:b8"
"Jul 26, 2019 16:26:33.592569000 AEST","a8:db:03:21:a0:1b"
