frame.time,wlan.sa,wlan.ssid, seclab
"Jul 26, 2019 13:20:35.044381000 AEST","bc:b8:63:7e:ad:b1","", seclab
"Jul 26, 2019 13:20:35.054842000 AEST","bc:b8:63:7e:ad:b1","", seclab
"Jul 26, 2019 13:20:35.706110000 AEST","2e:09:0a:df:98:b8","", seclab
"Jul 26, 2019 13:20:35.732911000 AEST","2e:09:0a:df:98:b8","", seclab
"Jul 26, 2019 13:20:35.753541000 AEST","2e:09:0a:df:98:b8","", seclab
"Jul 26, 2019 13:20:35.780360000 AEST","2e:09:0a:df:98:b8","", seclab
"Jul 26, 2019 13:20:35.786646000 AEST","84:38:38:ec:65:cb","", seclab
"Jul 26, 2019 13:20:35.799720000 AEST","2e:09:0a:df:98:b8","", seclab
"Jul 26, 2019 13:20:35.814771000 AEST","84:38:38:ec:65:cb","", seclab
"Jul 26, 2019 13:20:35.830895000 AEST","5e:80:f4:a6:68:3f","", seclab
"Jul 26, 2019 13:20:35.843718000 AEST","84:38:38:ec:65:cb","", seclab
"Jul 26, 2019 13:20:35.850516000 AEST","5e:80:f4:a6:68:3f","", seclab
"Jul 26, 2019 13:20:35.871207000 AEST","84:38:38:ec:65:cb","", seclab
"Jul 26, 2019 13:20:35.947890000 AEST","84:38:38:ec:65:cb","", seclab
"Jul 26, 2019 13:20:35.975140000 AEST","84:38:38:ec:65:cb","", seclab
"Jul 26, 2019 13:20:36.359916000 AEST","30:24:32:69:9f:47","", seclab
"Jul 26, 2019 13:20:36.370773000 AEST","30:24:32:69:9f:47","", seclab
"Jul 26, 2019 13:20:36.437491000 AEST","78:4f:43:98:b9:e7","", seclab
"Jul 26, 2019 13:20:36.473615000 AEST","78:4f:43:98:b9:e7","", seclab
"Jul 26, 2019 13:20:36.521417000 AEST","78:4f:43:98:b9:e7","", seclab
"Jul 26, 2019 13:20:36.529834000 AEST","38:29:5a:59:ff:47","", seclab
"Jul 26, 2019 13:20:36.565518000 AEST","38:29:5a:59:ff:47","", seclab
"Jul 26, 2019 13:20:36.579945000 AEST","30:24:32:69:9f:47","", seclab
"Jul 26, 2019 13:20:36.610418000 AEST","78:4f:43:98:b9:e7","", seclab
"Jul 26, 2019 13:20:36.613962000 AEST","38:29:5a:59:ff:47","", seclab
"Jul 26, 2019 13:20:36.623529000 AEST","30:24:32:69:9f:47","", seclab
"Jul 26, 2019 13:20:36.648106000 AEST","78:4f:43:98:b9:e7","", seclab
"Jul 26, 2019 13:20:38.037716000 AEST","bc:ff:eb:a3:3f:c2","uniwide", seclab
"Jul 26, 2019 13:20:38.053199000 AEST","bc:ff:eb:a3:3f:c2","uniwide", seclab
"Jul 26, 2019 13:20:38.273911000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:20:38.297026000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:20:38.317370000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:20:38.340342000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:20:38.401589000 AEST","38:29:5a:59:ff:47","a ma ni", seclab
"Jul 26, 2019 13:20:38.406307000 AEST","38:29:5a:59:ff:47","activity", seclab
"Jul 26, 2019 13:20:38.408818000 AEST","38:29:5a:59:ff:47","WiFi������������-49", seclab
"Jul 26, 2019 13:20:38.409938000 AEST","38:29:5a:59:ff:47","ngyl", seclab
"Jul 26, 2019 13:20:38.411262000 AEST","38:29:5a:59:ff:47","", seclab
"Jul 26, 2019 13:20:38.417020000 AEST","38:29:5a:59:ff:47","TP-LINK_B22266", seclab
"Jul 26, 2019 13:20:38.418162000 AEST","38:29:5a:59:ff:47","leiwang", seclab
